,company,href,salary,text_requirement,text_responsibility,title
0,ООО ДИДЖИТАЛ ТРЕЙД СОЛЮШНС,https://spb.hh.ru/vacancy/31592173?query=Python,120 000-150 000 руб.,"Отличные знания Python 3, Flask, SQL. Опыт в написание тестов (pytest, unittest). Понимание разницы между SQL/noSQL базами данных. ","Проектировать, разрабатывать и поддерживать веб-сервисы на языке Python с использованием Flask. Профилировать и оптимизировать код. Разрабатывать сложные системы взаимодействия...",Python разработчик
1,ООО АппФоллоу,https://spb.hh.ru/vacancy/30934505?query=Python,70 000-140 000 руб.,"Python-разработчик, найдись! Уверенное владение Python, MySQL, MongoDB, Redis. Владение WSGI frameworks, Aiohttp или Asyncio производных. Понимание распределенных/параллельных вычислений. ","Работа с магазинами приложений App Store, Google Play, Mac Store и Amazon Store (парсинг меты приложений, отзывов и др.). ",Python разработчик ‍‍
2,Digitalist PC,https://spb.hh.ru/vacancy/32102782?query=Python,100 000-130 000 руб.,"Самостоятельность и инициативность. Опыт работы с вышеупомянутым стеком от 2 лет. Будет плюсом: Знание Docker, Kubernetes. Знание методологий управления проектами...",Разработка api для сайта и мобильного приложения (никакого фронтэнда). Разработка api платежей. Разработка административного интерфейса. Написание тестов и внедрение CI. ,Python Developer
3,Ingate,https://spb.hh.ru/vacancy/31559790?query=Python,от 95 000 руб.,Знание Python и опыт разработки на нем от 2 лет. Желательно знание базовых структур данных и операций над ними. ,"Проектирование и реализация программных систем. Доработка, отладка и оптимизация существующих программ. Анализ и решение сложных технических проблем.",Разработчик Python
4,ООО ДИДЖИТАЛ ТРЕЙД СОЛЮШНС,https://spb.hh.ru/vacancy/31908420?query=Python,120 000-150 000 руб.,"Отличные знания Python 3+, Flask, SQL. Имеете опыт работы с системами мониторинга (grafana/zabbix/etc). Опыт работы с серверными...",Мониторинг внутренних систем бекенда и сервисов компании. Регулярное развитие и совершенствование систем мониторинга. Принятие мер по восстановлению работоспособности систем мониторинга...,Python backend developer
5,Redsteep,https://spb.hh.ru/vacancy/32202683?query=Python,150 000-200 000 руб.,Знание принципов ООП и SOLID. Опыт написания модульных и интеграционных тестов. Хороший уровень письменного и разговорного английского языка (переписка и...,Подменяли OpenGL драйвер в Android сборке для виртуальной машины. Делали reverse engineering мобильных банковских приложений. Ковырялись в деталях реализации WebRTC...,Senior Python разработчик
6,Soshace,https://spb.hh.ru/vacancy/32096106?query=Python,200 000-300 000 руб.,Do you have more than 3-year commercial experience in web development on projects with Python? Do you have 1...,"If you answer “yes” to all questions, send us your CV and be ready to provide a portfolio of projects...",Python Web Developer
7,NGENIX,https://spb.hh.ru/vacancy/32203300?query=Python,до 170 000 руб.,"Высшее техническое образование. Опыт коммерческой разработки на Python под Unix - не менее 3-х лет, опыт работы с асинхронными фреймворками. ",Высоконагруженные распределённые системы дистрибуции и кэширования данных. Кластерные системы обработки массивов данных. Web-сервисы (backend). Системы защиты веб-ресурсов от...,Разработчик / Инженер-программист (Python)
8,Транзас,https://spb.hh.ru/vacancy/30338206?query=Python,от 100 000 руб.,"Уверенное владения python3 (асинхронное/сетевое программирование, метапрограммирование, интроспекция). Знание основ и шаблонов проектирования ПО, понимания ООП. Понимание основных алгоритмов...","Разработка, внедрение и сопровождение фреймворков, библиотек, сетевых сервисов и программных эмуляторов для задач системной интеграции и автоматизированного тестирования.",Разработчик Python
9,SIA Media Solutions,https://spb.hh.ru/vacancy/32079672?query=Python,2 000-3 000 EUR,"Хорошее знание Python, PostgreSQL, MongoDB, Redis, JS. Кроме знания бекенда необходимо уверенное понимание фронтендовой части JS (по крайней мере не...","Проектирование, добавление и поддержка уже написанных интеграций. Обеспечение качества кода с использованием unit-тестов, code review, cистем контроля версий и...",Программист Python (в Ригу)
10,ООО ИТ Проспект,https://spb.hh.ru/vacancy/32162079?query=Python,50 000-120 000 руб.,"Знание Python, JavaScript, CSS. Опыт написания crawler - программ или понимание их работы. Ориентация на результат: быстрая выдача качественного кода. ",Разработка нового кода. Рефакторинг старого кода. Тестирование собственного кода с точки зрения функционала и нагрузки.,"Программист на Python, JS"
11,ООО АвтоТрансИнфо,https://spb.hh.ru/vacancy/32291315?query=Python,до 150 000 руб.,Уверенное владение python (3.4+). Знакомство с NoSQL (CAP-теорема не пустой звук). Опыт работы с системами контроля версий...,"Задачи по системе электронного документооборота, мессенджеру, информационному изданию и по плану еще много интеграционных проектов впереди. Разработка ведется в автоматизированной...",Python web-developer
12,Quest Software,https://spb.hh.ru/vacancy/30662401?query=Python,150 000-230 000 руб.,"At least 6 years of experience with web application development. Strong knowledge of Python (JavaScript, C#, Go). Experience with Linux...","Work with other team members to develop new features for Software as a Service (SaaS) solutions, cover them by acceptance...",Senior Python Software Developer
13,АстроСофт,https://spb.hh.ru/vacancy/31868400?query=Python,unknown,Стек технологий: - Numpy. Стек технологий: - Numpy. - опыт продуктовой разработки на Python от 1 года. - алгоритмическое мышление. Плюсом будет: - знание предметной...,Компания АстроСофт ведет разработку приложений для крупной зарубежной финансовой компании. Текущие проекты: 1. Решение задач оптимизации портфельных инвестиций с использованием...,Программист Python
14,ООО Vallexsoftware,https://spb.hh.ru/vacancy/31822817?query=Python,до 180 000 руб.,"Хорошие знания одной или нескольких языков / технологий Javascript/Java/Python, Angular/React, NodeJS. Умение работать в команде и взаимодействовать со...","Управление командой разработчиков: постановка, согласование и контроль корректности исполнения задач, анализ качества кода. Подбор и расширение команды разработчиков внутри компании. ","Javascript/Java/Python Developer (Senior) Team lead,"
15,ООО Капитал,https://spb.hh.ru/vacancy/32014182?query=Python,от 150 000 руб.,"Понимание потоковых ограничений Python. Знакомство с программированием на основе событий в Python. Аутентификация и авторизация между системами, серверами и средами. ","Интеграция решений для хранения данных: MySQL и Redis. Разработка приложений с низкой задержкой, высокой доступностью и производительностью. Интеграция элементов пользовательского...",Python developer (senior)
16,ООО Баргус Трейд,https://spb.hh.ru/vacancy/32120950?query=Python,от 90 000 руб.,Опыт работы с внешними API. Опыт работы с SOAP сервисами.,Работа над уникальным проектом по разработке интернет-платформы B2B. Разработка новых и поддержка существующих сервисов. Интеграция со сторонними...,Программист Python
17,Quantenna Communications,https://spb.hh.ru/vacancy/31354285?query=Python,unknown,"...и базовых протоколов HTTP, WebSocket, DNS, TLS. Processing data from SQL and noSQL DB, AWS file storage (Spark/Python, Go).",Developing and improving Cloud software (Python and Go). Applying strong familiarity with database systems and distributed systems concepts to new...,Senior Python Developer
18,Доктор Веб,https://spb.hh.ru/vacancy/31340090?query=Python,unknown,"...на Python от одного года. Опыт создания проектов с помощью фреймворка Django. Опыт работы с базами данных средствами Python, знание...","Доктор Веб» создает антивирусные решения для различных операционных систем и мобильных платформ, для домашнего использования и для централизованной защиты крупных...",Разработчик на Python/Django / Python/Django developer
19,ООО Т.Т.Консалтинг,https://spb.hh.ru/vacancy/31293264?query=Python,от 80 000 руб.,"Ищем Python разработчика, имеющего хороший опыт коммерческой разработки на Python. Ожидаем навыки работы с PostgreSQL, включая опыт работы со встроенными...","Разработка внутренних и внешних сервисов. Требуется как переработка существующей кодовой базы, так и реализация нового функционала согласно ТЗ.",Программист Python
20,ООО MediaTech,https://spb.hh.ru/vacancy/31371240?query=Python,от 250 000 руб.,С опытом разработки на Unity от 3х лет. С опытом в игровой индустрии . С опытом работы с HL в...,"Разработка архитектуры, поддержка, развитие, оптимизация игрового проекта. Организация процессов по технической разработке. Взять на себя ключевую роль в проектировании, разработке...",Senior Python Developer
21,ООО Вайрелез Лаб,https://spb.hh.ru/vacancy/31707520?query=Python,unknown,"Экспертное владение Python 3. Опыт работы с реляционными базами данных (например, PostgreSQL, MySQL). Уверенное владение Linux/Bash. Опыт работы с...",Разработка API для приложения с десятками миллионов пользователей. Разработка архитектур баз данных (PostgreSQL). Дизайн и разработка высоконагруженных сервисов по обработке...,Senior Python Developer
22,BeKitzur Inc,https://spb.hh.ru/vacancy/31983828?query=Python,unknown,"Experience in Python Desktop/GUI application development and UNIX system usage. Exposure to pyqt5, pyspark, cassandra, C/Python extensions...",Deal with an application for a linux based NFC device used to encode/test NFC tags in roll format. ,Python Developer
23,АО Заубер Банк,https://spb.hh.ru/vacancy/31710797?query=Python,до 130 000 руб.,"Отличное знание Python 3.x, Flask, Vue.js. Понимание принципов работы с очередями, в частности Python-RQ. Знание и опыт работы...","Поддержка и развитие банковских программных продуктов таких как финансовые онлайн сервисы, интеграционных платформы, систем отчетности и прогнозирования, системы идентификации и...",Full Stack разработчик Python
24,ООО Вайт Код,https://spb.hh.ru/vacancy/31934263?query=Python,от 200 000 руб.,"Хорошие знания Python (Django). Опыт разработки высоконагруженных систем. Большой опыт работы с базами данных и NoSQL (postgresql, redis). ","Разрабатывать новые фичи и улучшать имеющиеся, заниматься расширением функциональности высоконагруженных систем. Проектирование архитектуры, разработка и развитие веб-проектов. ",Web developer (Python)
25,"Wargaming, Saint Petersburg (Lesta Studio)",https://spb.hh.ru/vacancy/31418769?query=Python,unknown,"Опыт работы в геймдеве. Знание основных алгоритмов‚ скорости их работы. Опыт разработки логики, сети или интерфейсов. Знание Python или желание...",...и разработка новых фичей для метаигры (Python). Оптимизация кодовой базы при портировании игры с PC на консоли (C++ и Python).,"Gameplay Programmer (C++, Python)"
26,Panoramik Inc.,https://spb.hh.ru/vacancy/31460057?query=Python,unknown,"Отличное знание Python (2.7, 3.x). Опыт работы с базами данных (Postgresql/ MySQL/ Nosql). Опыт работы с операционными системами...","Разработка серверной логики игровых проектов. И, конечно же, современную технику и игровую зону с PS4 и VR.",Backend Python Developer (Серверный разработчик Python)
27,Spark Equation,https://spb.hh.ru/vacancy/31544082?query=Python,100 000-150 000 руб.,"Уверенное знание и опыт разработки решений на основе Python, JavaScript. Опыт работы с одним из JS фреймворков AngularJS, Angular, ReactJS. ","Разработка новых проектов, участие в тестировании и развертывании. Работа с существующими проектами. Участие в разработке архитектурных решений. Участие в код...",Middle Fullstack Python Engineer
28,"Wargaming, Saint Petersburg (Lesta Studio)",https://spb.hh.ru/vacancy/30164787?query=Python,unknown,Хорошее знание и опыт программирования на С++ и Python. Базовое понимание работы аудио в играх и других медиа. ,Внедрение новых аудио технологий и поддержка имеющихся. Разработка программного обеспечения согласно документации. Исправление дефектов на разных проектах. Участие в разработке...,Audio Programmer (С++/ Python)
29,Akvelon,https://spb.hh.ru/vacancy/31280726?query=Python,unknown,Глубокое знание языка Python и в контексте бэкенд-разработки. Опыт фронтенд разработки на React. Знание английского языка на уровне upper...,,Python-разработчик (full stack)
30,ООО ДИДЖИТАЛ ТРЕЙД СОЛЮШНС,https://spb.hh.ru/vacancy/31167007?query=Python,100 000-130 000 руб.,"Хорошее понимание игр: CS:GO, Dota 2. 4. Опыт работы с Python, SQL, BPMN. 5. Желание и умение строить горизонтальную...",,Data Scientist
31,ООО Цифроматика,https://spb.hh.ru/vacancy/32059799?query=Python,до 200 000 руб.,...владение Python. Умение разрабатывать стенды на Jupiter для согласования моделей с Заказчиком. Опыт использования популярных библиотек машинного обучения для Python...,Участие в разработке алгоритмов анализа данных на Python. Разработка интеграционных механизмов с внутренними математическими Python-модулями. Поддержка внедрения существующих и...,Data Scientist
32,Группа «Кронштадт»,https://spb.hh.ru/vacancy/27988609?query=Python,unknown,Знание основ теории алгоритмов. Отличное знание и опыт использования Python 3. Знание основных сетевых протоколов. Опыт создания многопоточных приложений. ,"Группа «Кронштадт» является разработчиком и единственным поставщиком “Единой автоматизированной системы обеспечения геопространственной информацией”. Продукт является инновационной платформой, основное назначение которой...",Инженер-программист Python / Python Developer
33,Bet.tech,https://spb.hh.ru/vacancy/32165908?query=Python,unknown,"Опыт асинхронного программирования(особенно полезен опыт работы с aioamqp, aiohttp). Опыт многопоточного программирования. Опыт использования реляционных СУБД. Опыт использования NoSQL...",Писать web-сервисы и их компоненты. Работать с самыми новыми фреймворками. Вести документацию.,Middle/Senior Python Developer (Riga)
34,Dell EMC,https://spb.hh.ru/vacancy/30871669?query=Python,unknown,Strong Python backend development experience. Programming background in JS/CSS/HTML5. Strong understanding of REST API. Experience designing complex...,Interact with product management and senior leadership team in order to shape the product. Roadmap. Drive critical component design decisions...,Principal FullStack/Python Developer (ECS)
35,WorldQuant,https://spb.hh.ru/vacancy/31894651?query=Python,unknown,Good understanding of algorithms and data structures. Strong Python programming skills. Knowledge of Information Retrieval and Natural Language Processing. ,Developing a search framework for efficient information retrieval. Implementation of high-performance algorithms for data processing. Enrichment of company’s...,Data Scientist / NLP Engineer
36,Teknavo,https://spb.hh.ru/vacancy/31982705?query=Python,unknown,"Hands on experience of coding in Python or C/C++. Good writing skill and ability to write documentation, using scientific...","Наша компания ведет коммерческий проект, связанный с внедрением методов ИИ для обработки текстовых данных. Работа в данном проекте предполагает участие...",Data Scientist
37,LG Electronics Inc.,https://spb.hh.ru/vacancy/31828023?query=Python,unknown,"Знание и опыт практического применения Python 3.x и C++11. Математическая подготовка: основы линейной алгебры и аналитической геометрии, основы...","Прототипирование и реализация алгоритмов sensor fusion и computer vision в задачах, связанных с дополненной реальностью. Программирование 3D user interface. ",Программист Python / C++
